date,close,open,max,min,var
01/04/1996,7.42,7.53,7.59,7.36,-0.02
01/05/1996,7.47,7.42,7.54,7.36,0.01
01/06/1996,7.59,7.46,7.65,7.42,0.02
01/07/1996,7.59,7.59,7.69,7.56,0.00
01/08/1996,7.58,7.59,7.63,7.46,0.00
01/09/1996,7.54,7.57,7.62,7.48,-0.01
01/10/1996,7.97,7.54,8.09,7.52,0.06
01/11/1996,7.89,7.96,7.98,7.85,-0.01
01/12/1996,7.89,7.89,7.96,7.83,0.00
01/01/1997,7.82,7.88,7.91,7.77,-0.01
01/02/1997,7.93,7.83,8.02,7.74,0.01
01/03/1997,7.92,7.91,8.11,7.88,0.00
01/04/1997,7.95,7.92,8.00,7.84,0.00
01/05/1997,7.92,7.95,7.96,7.85,0.00
01/06/1997,7.93,7.92,8.01,7.89,0.00
01/07/1997,7.82,7.93,7.97,7.75,-0.01
01/08/1997,7.83,7.83,7.86,7.74,0.00
01/09/1997,7.77,7.80,7.85,7.71,-0.01
01/10/1997,8.41,7.79,9.17,7.72,0.08
01/11/1997,8.23,8.36,8.50,8.09,-0.02
01/12/1997,8.07,8.19,8.23,7.91,-0.02
01/01/1998,8.45,8.06,8.51,8.01,0.05
01/02/1998,8.52,8.37,8.67,8.31,0.01
01/03/1998,8.52,8.51,8.68,8.45,0.00
01/04/1998,8.49,8.52,8.56,8.45,0.00
01/05/1998,8.83,8.50,8.94,8.46,0.04
01/06/1998,8.97,8.82,9.10,8.72,0.02
01/07/1998,8.93,8.96,9.01,8.77,0.00
01/08/1998,10.11,8.97,10.11,8.97,0.13
01/09/1998,10.28,10.18,10.71,9.88,0.02
01/10/1998,10.05,10.26,10.46,9.92,-0.02
01/11/1998,10.00,10.03,10.08,9.86,0.00
01/12/1998,9.91,9.99,10.07,9.72,-0.01
01/01/1999,10.17,9.90,11.17,9.74,0.03
01/02/1999,9.90,10.17,10.22,9.88,-0.03
01/03/1999,9.52,9.89,10.00,9.50,-0.04
01/04/1999,9.30,9.52,9.61,9.24,-0.02
01/05/1999,9.71,9.29,9.86,9.23,0.04
01/06/1999,9.37,9.72,9.84,9.32,-0.04
01/07/1999,9.41,9.38,9.59,9.25,0.00
01/08/1999,9.35,9.40,9.56,9.28,-0.01
01/09/1999,9.38,9.36,9.45,9.27,0.00
01/10/1999,9.60,9.37,9.82,9.34,0.02
01/11/1999,9.45,9.61,9.64,9.24,-0.02
01/12/1999,9.50,9.49,9.61,9.33,0.01
01/01/2000,9.59,9.43,9.67,9.37,0.01
01/02/2000,9.37,9.59,9.62,9.32,-0.02
01/03/2000,9.26,9.37,9.39,9.12,-0.01
01/04/2000,9.39,9.26,9.57,9.25,0.01
01/05/2000,9.52,9.40,9.67,9.33,0.01
01/06/2000,9.81,9.52,10.15,9.50,0.03
01/07/2000,9.34,9.76,9.76,9.31,-0.05
01/08/2000,9.20,9.32,9.42,9.15,-0.01
01/09/2000,9.44,9.20,9.52,9.19,0.03
01/10/2000,9.57,9.43,9.72,9.38,0.01
01/11/2000,9.42,9.57,9.71,9.34,-0.02
01/12/2000,9.64,9.42,9.66,9.36,0.02
01/01/2001,9.66,9.64,10.00,9.58,0.00
01/02/2001,9.68,9.66,9.80,9.62,0.00
01/03/2001,9.46,9.68,9.72,9.45,-0.02
01/04/2001,9.25,9.46,9.47,9.14,-0.02
01/05/2001,9.18,9.24,9.32,8.92,-0.01
01/06/2001,9.03,9.18,9.21,9.01,-0.02
01/07/2001,9.17,9.03,9.42,8.98,0.02
01/08/2001,9.20,9.17,9.24,9.00,0.00
01/09/2001,9.50,9.20,9.61,9.17,0.03
01/10/2001,9.28,9.50,9.62,9.17,-0.02
01/11/2001,9.22,9.27,9.31,9.10,-0.01
01/12/2001,9.15,9.25,9.28,9.05,-0.01
01/01/2002,9.15,9.16,9.31,9.07,0.00
01/02/2002,9.13,9.15,9.19,9.01,0.00
01/03/2002,9.01,9.13,9.14,8.99,-0.01
01/04/2002,9.41,9.01,9.41,8.96,0.04
01/05/2002,9.65,9.41,9.79,9.37,0.02
01/06/2002,9.94,9.63,10.09,9.58,0.03
01/07/2002,9.88,9.90,9.99,9.60,-0.01
01/08/2002,9.94,9.88,10.01,9.66,0.01
01/09/2002,10.19,9.94,10.38,9.90,0.03
01/10/2002,10.20,10.20,10.26,9.92,0.00
01/11/2002,10.15,10.20,10.37,10.06,-0.01
01/12/2002,10.37,10.14,10.51,10.08,0.02
01/01/2003,10.91,10.39,11.02,10.31,0.05
01/02/2003,11.02,10.95,11.09,10.74,0.01
01/03/2003,10.78,11.01,11.27,10.65,-0.02
01/04/2003,10.27,10.79,10.83,10.26,-0.05
01/05/2003,10.32,10.26,10.46,10.08,0.00
01/06/2003,10.46,10.32,10.83,10.22,0.01
01/07/2003,10.61,10.44,10.63,10.33,0.01
01/08/2003,11.05,10.62,11.11,10.57,0.04
01/09/2003,10.99,11.06,11.09,10.74,-0.01
01/10/2003,11.01,10.99,11.36,10.94,0.00
01/11/2003,11.38,11.02,11.45,10.93,0.03
01/12/2003,11.23,11.41,11.43,11.12,-0.01
01/01/2004,11.06,11.23,11.24,10.78,-0.01
01/02/2004,11.06,11.01,11.30,10.88,0.00
01/03/2004,11.13,11.06,11.26,10.89,0.01
01/04/2004,11.42,11.13,11.47,11.13,0.03
01/05/2004,11.46,11.43,11.71,11.37,0.00
01/06/2004,11.50,11.45,11.60,11.29,0.00
01/07/2004,11.40,11.48,11.57,11.36,-0.01
01/08/2004,11.39,11.41,11.48,11.30,0.00
01/09/2004,11.38,11.39,11.64,11.37,0.00
01/10/2004,11.54,11.38,11.58,11.20,0.01
01/11/2004,11.22,11.51,11.56,11.21,-0.03
